"1. If you are happy to proceed with the experiment, please click below to provide your consent.","2. Please enter your Prolific ID to continue:","3. Please tell us whether you identify as a:","4. How old are you?","5. Please indicate which hand you use for the following activities or objects:","5.1. Writing","5.2. Drawing","5.3. Throwing","5.4. Scissors","5.5. Toothbrush","5.6. Knife (without fork)","5.7. Spoon","5.8. Broom (upper hand)","5.9. Striking match (match)","5.10. Opening box (lid)","CompletionDate"
"I give my consent to take part in the experiment","61485d798b28686872fb9c7b","Woman","29",,"Always left","Always left","Always left","Always left","Always left","Always right","Always left","Always left","Always left","Always left","2022-10-19 13:17:13 UTC"
"I give my consent to take part in the experiment","5e8783b0fde5153fbd9dca43","Woman","23",,"Always right","Always right","Usually right","Always right","Usually right","Usually right","Always right","Both equally","Usually right","Usually right","2022-10-19 13:17:51 UTC"
"I give my consent to take part in the experiment","6131460946d0022f68082db6","Woman","22",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-19 13:24:54 UTC"
"I give my consent to take part in the experiment","6131460946d0022f68082db6","Woman","22",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-19 13:26:04 UTC"
"I give my consent to take part in the experiment","6131460946d0022f68082db6","Woman","22",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-19 13:27:26 UTC"
"I give my consent to take part in the experiment","60c89dd43697d0b926b5b804","Woman","21",,"Always right","Always right","Usually right","Always right","Usually right","Always right","Always right","Both equally","Both equally","Both equally","2022-10-19 13:27:47 UTC"
"I give my consent to take part in the experiment","6131460946d0022f68082db6","Woman","22",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-19 13:28:51 UTC"
"I give my consent to take part in the experiment","6131460946d0022f68082db6","Woman","22",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-19 13:30:16 UTC"
"I give my consent to take part in the experiment","6131460946d0022f68082db6","Woman","22",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-19 13:31:20 UTC"
"I give my consent to take part in the experiment","5baf6705848bbd0001d6fc8a","Woman","27",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-19 13:41:25 UTC"
"I give my consent to take part in the experiment","5b8c8e7d0c740e00019d55c3","Man","37",,"Always right","Always right","Usually right","Always right","Always right","Always right","Always right","Usually right","Always right","Usually right","2022-10-19 13:48:14 UTC"
"I give my consent to take part in the experiment","613a469755c08ab3b9d682ad","Woman","25",,"Always right","Always right","Usually right","Always right","Always right","Always right","Usually right","Always right","Always right","Usually right","2022-10-19 13:48:30 UTC"
"I give my consent to take part in the experiment","5d40a12f4994c40001e4b80c","Woman","32",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Always right","2022-10-19 13:51:19 UTC"
"I give my consent to take part in the experiment","595bd5c85ae9a80001ce3426","Man","32",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually left","Usually right","Both equally","2022-10-19 13:58:24 UTC"
"I give my consent to take part in the experiment","6166e78051425fa22de68491","Woman","21",,"Always right","Always right","Both equally","Usually right","Usually right","Usually right","Usually right","Both equally","Both equally","Both equally","2022-10-19 14:03:10 UTC"
"I give my consent to take part in the experiment","604cf861ea0db53a75e15d5f","Man","26",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-22 14:27:49 UTC"
"I give my consent to take part in the experiment","5e83b64a71c78f0d979f1896","Man","26",,"Always right","Always right","Always right","Both equally","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-22 14:28:19 UTC"
"I give my consent to take part in the experiment","610737a2c079729804c1a1e7","Woman","19",,"Always right","Always right","Usually left","Usually right","Always right","Always right","Always right","Usually left","Both equally","Always right","2022-10-22 14:28:47 UTC"
"I give my consent to take part in the experiment","6164b9e5d7dd59233b570c51","Woman","20",,"Always right","Always right","Usually right","Always right","Usually right","Always right","Always right","Always right","Always right","Usually right","2022-10-22 14:28:52 UTC"
"I give my consent to take part in the experiment","6144b76aedae028c523b3071","Man","22",,"Always right","Always right","Usually left","Always right","Always right","Always right","Always right","Always right","Always left","Always left","2022-10-22 14:29:03 UTC"
"I give my consent to take part in the experiment","6030050a5bdba4dd09d142f4","Woman","22",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","2022-10-22 14:29:09 UTC"
"I give my consent to take part in the experiment","5e2886675192a904ae0a2110","Man","29",,"Always left","Always left","Always left","Always left","Always left","Always left","Always left","Usually left","Always left","Usually left","2022-10-22 14:29:21 UTC"
"I give my consent to take part in the experiment","6100420439c2eeab8326fe25","Man","22",,"Always right","Always right","Usually right","Usually right","Always right","Usually right","Usually right","Usually right","Usually right","Usually right","2022-10-22 14:29:56 UTC"
"I give my consent to take part in the experiment","613b1e3607aa50c67b534570","Woman","24",,"Always right","Always right","Usually right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-22 14:32:32 UTC"
"I give my consent to take part in the experiment","601ffb441dc6d959b855eea5","Woman","20",,"Always right","Always right","Always right","Always right","Usually right","Usually right","Usually right","Always right","Always right","Always right","2022-10-22 14:42:19 UTC"
"I give my consent to take part in the experiment","6144b76aedae028c523b3071","Man","22",,"Always right","Always right","Always left","Always right","Always right","Always right","Always right","Always right","Always left","Always left","2022-10-22 14:49:49 UTC"
"I give my consent to take part in the experiment","613a972033d79df11a6570de","Woman","35",,"Always right","Always right","Usually right","Always right","Usually right","Always right","Always right","Usually right","Always right","Usually right","2022-10-22 16:04:37 UTC"
"I give my consent to take part in the experiment","5efe1f5fae9c482e94a4cc61","Man","21",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-23 17:08:51 UTC"
"I give my consent to take part in the experiment","603092d2cd3854f43df2c885","Man","22",,"Always left","Always left","Both equally","Usually right","Always left","Always left","Always left","Always left","Usually left","Always left","2022-10-23 17:09:15 UTC"
"I give my consent to take part in the experiment","602d84f17cdd707e9caed37a","Woman","23",,"Always right","Always right","Always right","Always right","Usually right","Always right","Always right","Always right","Always right","Usually right","2022-10-23 17:09:28 UTC"
"I give my consent to take part in the experiment","60733deb6636282339447a74","Man","21",,"Always right","Always right","Always right","Usually right","Always right","Always right","Always right","Usually right","Always right","Always right","2022-10-23 17:09:44 UTC"
"I give my consent to take part in the experiment","60fd5bfe72f9b6d7779b4691","Woman","21",,"Always right","Always right","Usually left","Always right","Always right","Always right","Always right","Both equally","Always right","Both equally","2022-10-23 17:09:56 UTC"
"I give my consent to take part in the experiment","604a620c882c4ad527217035","Man","29",,"Always left","Always left","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-23 17:09:56 UTC"
"I give my consent to take part in the experiment","600abec042ce9902cb63f0a2","Man","24",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-23 17:10:04 UTC"
"I give my consent to take part in the experiment","5efe1f5fae9c482e94a4cc61","Man","21",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-23 17:10:09 UTC"
"I give my consent to take part in the experiment","5ed8eb3d8074e940108fb095","Non-binary","44",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-23 17:11:08 UTC"
"I give my consent to take part in the experiment","611bbf442fae05702503ef30","Man","22",,"Always left","Always left","Usually left","Usually left","Usually left","Usually right","Always left","Always left","Always left","Both equally","2022-10-23 17:14:25 UTC"
"I give my consent to take part in the experiment","5ec3f25d9cedf7287004cd26","Woman","21",,"Always right","Always right","Usually right","Always right","Both equally","Always right","Usually right","Always right","Always right","Usually right","2022-10-23 17:19:46 UTC"
"I give my consent to take part in the experiment","60d3acd071e98de7a42743ac","Woman","19",,"Always left","Always left","Usually left","Usually left","Always left","Always left","Always left","Both equally","Both equally","Both equally","2022-10-23 17:37:16 UTC"
"I give my consent to take part in the experiment","60cdae5d942a76a98eba611a","Woman","35",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-10-23 17:43:33 UTC"
"I give my consent to take part in the experiment","testalex","Woman","30",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:23:43 UTC"
"I give my consent to take part in the experiment","5f502f72f02ab91a757dbc58","Man","25",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Always right","2022-12-06 08:43:31 UTC"
"I give my consent to take part in the experiment","5f27f9f7119cde0008a93be7","Man","29",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Both equally","2022-12-06 08:43:31 UTC"
"I give my consent to take part in the experiment","5ea14e7f4f71e201764c38cb","Man","26",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:44:27 UTC"
"I give my consent to take part in the experiment","611cb49f216bddd7d90a996e","Man","25",,"Always right","Always right","Always right","Always right","Both equally","Both equally","Usually right","Both equally","Both equally","Both equally","2022-12-06 08:44:31 UTC"
"I give my consent to take part in the experiment","60469169f3ce610af6ac8bee","Woman","23",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Usually right","2022-12-06 08:44:38 UTC"
"I give my consent to take part in the experiment","611d4136945a7ac06dd9e53b","Woman","22",,"Always right","Always right","Usually right","Always right","Always right","Always right","Both equally","Both equally","Always right","Both equally","2022-12-06 08:44:46 UTC"
"I give my consent to take part in the experiment","5e519711c65ccb1ca79319fe@email.prolific.co","Woman","34",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Both equally","Always right","Both equally","2022-12-06 08:44:53 UTC"
"I give my consent to take part in the experiment","6111b8bc982e6972a924ee7c","Woman","22",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:44:59 UTC"
"I give my consent to take part in the experiment","61516b8425ba41f8ccec0f52","Woman","20",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Both equally","2022-12-06 08:45:03 UTC"
"I give my consent to take part in the experiment","60e47054c4135013a3a7b7c7","Woman","26",,"Both equally","Always right","Always right","Always right","Both equally","Always right","Always right","Always right","Both equally","Both equally","2022-12-06 08:45:06 UTC"
"I give my consent to take part in the experiment","5e967287118edf0fd9824bc2","Woman","20",,"Always right","Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Always right","Always right","2022-12-06 08:45:15 UTC"
"I give my consent to take part in the experiment","5efb10ec4b531a0132f91451","Man","25",,"Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Always right","Always right","Both equally","2022-12-06 08:45:18 UTC"
"I give my consent to take part in the experiment","615c6ed7d7751b9542d05371","Man","30",,"Usually right","Usually right","Usually right","Usually right","Usually right","Usually right","Usually right","Usually right","Usually right","Usually right","2022-12-06 08:45:21 UTC"
"I give my consent to take part in the experiment","5f418da10dab34340bd50d60","Man","20",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually left","Always right","Always right","2022-12-06 08:45:26 UTC"
"I give my consent to take part in the experiment","604a62b9bab7ac6824cc2b52","Man","20",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always left","Always right","Always right","2022-12-06 08:45:33 UTC"
"I give my consent to take part in the experiment","5d470e24c46fcd001a238820","Man","36",,"Always right","Always right","Always right","Both equally","Both equally","Both equally","Usually right","Usually right","Always right","Both equally","2022-12-06 08:45:37 UTC"
"I give my consent to take part in the experiment","6101345e201fce9041fccb84","Woman","23",,"Always right","Always right","Usually right","Always right","Always right","Usually right","Usually right","Usually right","Always right","Both equally","2022-12-06 08:45:46 UTC"
"I give my consent to take part in the experiment","61541a3bb7cb4c92feb431ec@email.prolific.co","Man","39",,"Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","2022-12-06 08:45:50 UTC"
"I give my consent to take part in the experiment","61644e1f0f8d671e51062e97","Woman","24",,"Always right","Always right","Usually right","Always right","Usually right","Always right","Always right","Both equally","Always right","Both equally","2022-12-06 08:45:55 UTC"
"I give my consent to take part in the experiment","5def67a45c91a4000ef4739c","Woman","24",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:46:22 UTC"
"I give my consent to take part in the experiment","6155d029515651d612ad2141","Woman","40",,"Always right","Always right","Usually right","Always right","Always right","Always right","Usually right","Both equally","Always right","Both equally","2022-12-06 08:46:26 UTC"
"I give my consent to take part in the experiment","60f579085ebf24f9c80f223e","Woman","21",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:46:28 UTC"
"I give my consent to take part in the experiment","60e579897ebd06b1537eb223","Woman","37",,"Always left","Usually left","Both equally","Both equally","Both equally","Both equally","Both equally","Both equally","Both equally","Both equally","2022-12-06 08:46:28 UTC"
"I give my consent to take part in the experiment","60dafb8e5caaf2275d2b38fc","Woman","23",,"Always right","Always right","Usually right","Always right","Usually right","Always right","Always right","Usually right","Always right","Usually right","2022-12-06 08:46:30 UTC"
"I give my consent to take part in the experiment","5f1a79f6a73eec1942dac4b5","Woman","42",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always left","Always right","Always right","2022-12-06 08:46:32 UTC"
"I give my consent to take part in the experiment","60768c72f4cc270141585ff8","Woman","23",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:46:33 UTC"
"I give my consent to take part in the experiment","5f3006e1a760660769bd6930","Man","35",,"Always right","Always right","Always right","Always right","Both equally","Both equally","Usually right","Usually right","Usually right","Usually right","2022-12-06 08:46:39 UTC"
"I give my consent to take part in the experiment","6128bd8212d9c49351e1c453","Man","28",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:46:44 UTC"
"I give my consent to take part in the experiment","5eeeffe71e0bbd054b0853db","Man","34",,"Always right","Always right","Always right","Usually right","Usually right","Usually right","Always right","Both equally","Usually right","Both equally","2022-12-06 08:46:51 UTC"
"I give my consent to take part in the experiment","6160c7eda123a8e3bb47efb9","Woman","35",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually left","2022-12-06 08:46:54 UTC"
"I give my consent to take part in the experiment","6092e2aac56871319199b6a5","Woman","24",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:47:01 UTC"
"I give my consent to take part in the experiment","5ff84e93aff50c000bdf1746","Woman","37",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:47:06 UTC"
"I give my consent to take part in the experiment","5fa0091ec747500252d2891f","Man","35",,"Always left","Always left","Both equally","Always left","Always left","Always left","Always left","Always left","Always left","Usually left","2022-12-06 08:47:11 UTC"
"I give my consent to take part in the experiment","616550455f8f691a658e06b0","Woman","48",,"Always right","Always right","Both equally","Always right","Both equally","Both equally","Both equally","Always right","Always right","Always right","2022-12-06 08:47:18 UTC"
"I give my consent to take part in the experiment","60f534e6b1227dde7dea8273","Man","23",,"Always right","Always right","Usually right","Usually right","Usually right","Usually right","Always right","Usually right","Usually right","Usually right","2022-12-06 08:47:38 UTC"
"I give my consent to take part in the experiment","607f38713508245aa805d62d","Man","20",,"Usually right","Usually right","Both equally","Both equally","Usually right","Usually right","Usually right","Both equally","Both equally","Both equally","2022-12-06 08:47:41 UTC"
"I give my consent to take part in the experiment","615efc771b4fdee33a42f5d6","Woman","41",,"Always right","Always right","Both equally","Always right","Always right","Both equally","Always right","Always right","Always right","Always right","2022-12-06 08:47:46 UTC"
"I give my consent to take part in the experiment","60b8d349bc9f80e35756cf1b","Woman","28",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:47:55 UTC"
"I give my consent to take part in the experiment","614db5972347fc63735f95ba","Woman","29",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:48:13 UTC"
"I give my consent to take part in the experiment","588f58e8d2b27900019967d0","Woman","56",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:48:15 UTC"
"I give my consent to take part in the experiment","60f81ad13adb8de3c32afefb","Woman","22",,"Always right","Always right","Always right","Always right","Usually right","Always right","Always right","Always right","Always right","Both equally","2022-12-06 08:48:18 UTC"
"I give my consent to take part in the experiment","5f1a79f6a73eec1942dac4b5","Woman","42",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always left","Always right","Always right","2022-12-06 08:48:26 UTC"
"I give my consent to take part in the experiment","5d20af4fc0b21600176e2990","Woman","32",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:48:27 UTC"
"I give my consent to take part in the experiment","6133918382b1a9266a7900b5","Man","26",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","2022-12-06 08:48:34 UTC"
"I give my consent to take part in the experiment","5c5895f5af5bed0001f9ee92","Man","27",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Usually right","2022-12-06 08:48:50 UTC"
"I give my consent to take part in the experiment","611c3819eac3c026d338c054","Man","42",,"Always right","Always right","Usually right","Always right","Usually right","Usually right","Always right","Always right","Always right","Usually right","2022-12-06 08:48:52 UTC"
"I give my consent to take part in the experiment","615afebe24facda83f89a6db","Man","22",,"Always right","Always right","Always right","Both equally","Both equally","Both equally","Always right","Always right","Always right","Always right","2022-12-06 08:48:59 UTC"
"I give my consent to take part in the experiment","61183bece4c3e63512e3eb5d","Woman","22",,"Always right","Always right","Both equally","Always right","Always right","Always right","Always right","Both equally","Always right","Usually right","2022-12-06 08:49:04 UTC"
"I give my consent to take part in the experiment","611dec6045e4d60c9ab77578","Man","26",,"Always right","Always right","Always right","Always right","Both equally","Always right","Always right","Always left","Always right","Always right","2022-12-06 08:49:15 UTC"
"I give my consent to take part in the experiment","615eaaf99d191e2bc495b80d","Man","25",,"Always right","Always right","Usually right","Always right","Always right","Usually right","Always right","Always right","Usually right","Usually right","2022-12-06 08:49:17 UTC"
"I give my consent to take part in the experiment","61641a12f14a6f1b08edd5bf","Woman","37",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Both equally","Always right","Always right","2022-12-06 08:49:21 UTC"
"I give my consent to take part in the experiment","5f909727af6874176f049363","Man","25",,"Always right","Usually right","Usually right","Usually right","Both equally","Usually right","Always right","Usually right","Usually right","Usually right","2022-12-06 08:49:23 UTC"
"I give my consent to take part in the experiment","61277b7736ce3db5be7231b2","Man","34",,"Always right","Always right","Both equally","Usually right","Always right","Always right","Usually right","Both equally","Both equally","Usually right","2022-12-06 08:49:31 UTC"
"I give my consent to take part in the experiment","614f97bf64cce227b7d28f15","Man","26",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Both equally","Always right","Always right","2022-12-06 08:49:33 UTC"
"I give my consent to take part in the experiment","615764053384d0ce6b63d733","Man","25",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:49:40 UTC"
"I give my consent to take part in the experiment","603694d2d2707b4427ff6dde","Man","21",,"Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","2022-12-06 08:49:43 UTC"
"I give my consent to take part in the experiment","612a7b90609d7c99e1340c0b","Woman","28",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:49:55 UTC"
"I give my consent to take part in the experiment","5ae5db897edeb000014a85ee","Woman","23",,"Always right","Always right","Usually right","Always right","Usually right","Always right","Usually right","Usually right","Always right","Usually right","2022-12-06 08:49:57 UTC"
"I give my consent to take part in the experiment","6157366a811d528ebd580898","Woman","33",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:50:09 UTC"
"I give my consent to take part in the experiment","5ef1286671de8a10d3cbd17e","Man","45",,"Always left","Always left","Usually right","Always right","Always right","Always left","Always left","Always left","Always left","Always left","2022-12-06 08:50:18 UTC"
"I give my consent to take part in the experiment","611d494bdf82f55dab35547c","Woman","25",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","2022-12-06 08:50:29 UTC"
"I give my consent to take part in the experiment","5f23059ab07e8c06aeb696e2","Man","27",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:50:32 UTC"
"I give my consent to take part in the experiment","611d3338dded94720af062c7","Woman","26",,"Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Both equally","Always right","Always right","2022-12-06 08:50:41 UTC"
"I give my consent to take part in the experiment","6083e6f895a0a89f8dde9ecd","Man","21",,"Always right","Always right","Always right","Always right","Usually right","Always right","Always right","Usually right","Usually right","Usually right","2022-12-06 08:50:47 UTC"
"I give my consent to take part in the experiment","60e88e2e4236b6f23a6d702d","Woman","32",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Always right","2022-12-06 08:51:21 UTC"
"I give my consent to take part in the experiment","5ec0ae6526be4e4c4cd704de","Man","31",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Both equally","Both equally","Both equally","2022-12-06 08:51:31 UTC"
"I give my consent to take part in the experiment","61390b0f0c521df31c9e5fe4","Man","33",,"Always right","Always right","Always right","Both equally","Usually right","Usually right","Always right","Both equally","Usually right","Usually left","2022-12-06 08:51:36 UTC"
"I give my consent to take part in the experiment","5e9efe26ffd5fe04e506d7f3","Woman","25",,"Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","2022-12-06 08:52:12 UTC"
"I give my consent to take part in the experiment","60059c69e9950473fb485ec3","Man","59",,"Always right","Always right","Always left","Always right","Usually right","Usually left","Always right","Usually left","Usually right","Usually left","2022-12-06 08:52:39 UTC"
"I give my consent to take part in the experiment","60eaac9e9b27ce557bd8fc58","Woman","21",,"Always right","Always right","Always right","Always right","Both equally","Always right","Always right","Usually right","Always right","Both equally","2022-12-06 08:52:43 UTC"
"I give my consent to take part in the experiment","60ffc7bb84a3a45ff45fd520","Woman","41",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Usually right","2022-12-06 08:52:44 UTC"
"I give my consent to take part in the experiment","5e519711c65ccb1ca79319fe","Woman","34",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Both equally","Always right","Both equally","2022-12-06 08:52:54 UTC"
"I give my consent to take part in the experiment","6161a0483e75e2978afa9247","Man","25",,"Usually right","Always right","Usually right","Always right","Both equally","Usually right","Both equally","Always right","Always right","Both equally","2022-12-06 08:53:36 UTC"
"I give my consent to take part in the experiment","60d747e9498dbc9de1f481f8","Woman","28",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:53:52 UTC"
"I give my consent to take part in the experiment","61602320c1aec7e6f8b5e3f4","Woman","22",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually left","Usually right","Both equally","2022-12-06 08:54:27 UTC"
"I give my consent to take part in the experiment","5a96a0916219a30001d31fbb","Man","41",,"Always left","Always left","Always left","Always left","Usually right","Always left","Usually right","Always left","Always left","Always left","2022-12-06 08:54:28 UTC"
"I give my consent to take part in the experiment","61390b0f0c521df31c9e5fe4","Man","33",,"Always right","Usually right","Always right","Always right","Usually right","Always right","Usually right","Both equally","Usually right","Always right","2022-12-06 08:54:33 UTC"
"I give my consent to take part in the experiment","5dad6ad0b5b08000168574d9","Woman","48",,"Always right","Always right","Always right","Always right","Both equally","Always right","Always right","Always right","Always right","Both equally","2022-12-06 08:54:38 UTC"
"I give my consent to take part in the experiment","611d61f463b14fa360a223ab","Man","31",,"Always right","Always right","Always right","Always right","Always right","Usually right","Both equally","Always right","Always right","Always right","2022-12-06 08:54:42 UTC"
"I give my consent to take part in the experiment","5eacb823eb3ceb32de9b6df3","Man","24",,"Always right","Always right","Both equally","Both equally","Usually right","Always right","Always right","Always right","Usually right","Usually right","2022-12-06 08:55:22 UTC"
"I give my consent to take part in the experiment","6165ee51589a30c811a48217","Woman","29",,"Always right","Always right","Usually right","Always right","Usually right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:55:39 UTC"
"I give my consent to take part in the experiment","616b150c5150ade144c3da61","Man","40",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Always right","2022-12-06 08:55:55 UTC"
"I give my consent to take part in the experiment","610bf50184d89a31761e243d","Man","25",,"Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","Always left","2022-12-06 08:56:49 UTC"
"I give my consent to take part in the experiment","60f5554c7c2b549b649f8f85","Woman","33",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 08:56:57 UTC"
"I give my consent to take part in the experiment","5fbaab6752b13f885c0fb1bd","Man","24",,"Always right","Always right","Usually right","Usually right","Usually right","Usually right","Always right","Both equally","Usually right","Usually right","2022-12-06 08:57:36 UTC"
"I give my consent to take part in the experiment","6101281ec898c0925c481e8f","Man","26",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually left","Always right","Always right","2022-12-06 08:58:28 UTC"
"I give my consent to take part in the experiment","5e3015975aa7000110719b9c","Woman","27",,"Always right","Always right","Always right","Always right","Usually right","Always right","Always right","Usually right","Always right","Always right","2022-12-06 08:58:52 UTC"
"I give my consent to take part in the experiment","608f29f8fb5de082970cb20a","Man","30",,"Always right","Always right","Always right","Always right","Usually right","Always right","Always right","Usually right","Always right","Usually right","2022-12-06 08:59:35 UTC"
"I give my consent to take part in the experiment","613b789d93a4e9a50e6e2c0b","Woman","21",,"Always left","Always left","Usually left","Usually left","Usually left","Usually left","Usually left","Usually left","Usually left","Usually left","2022-12-06 08:59:49 UTC"
"I give my consent to take part in the experiment","5eff55b491a1504ce717dc6a","Man","23",,"Usually right","Usually right","Usually right","Usually right","Usually right","Usually right","Usually right","Usually right","Usually right","Usually right","2022-12-06 09:00:22 UTC"
"I give my consent to take part in the experiment","5f1a79f6a73eec1942dac4b5","Woman","42",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always left","Always right","Always right","2022-12-06 09:02:26 UTC"
"I give my consent to take part in the experiment","615717bc21a6b32aefd0aa49","Man","47",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 09:05:11 UTC"
"I give my consent to take part in the experiment","5fa9d9a57e564e271b8c2175","Man","26",,"Always left","Always left","Always left","Always left","Always left","Always left","Both equally","Usually left","Always left","Usually left","2022-12-06 09:05:36 UTC"
"I give my consent to take part in the experiment","5f8913542da24f0850571351","Non-binary","23",,"Always right","Always right","Usually right","Always right","Both equally","Always left","Usually right","Usually left","Usually left","Always left","2022-12-06 09:09:38 UTC"
"I give my consent to take part in the experiment","6140c6ea5b79d814890d4eae","Man","31",,"Always right","Always right","Usually right","Always right","Always right","Always right","Always right","Both equally","Always right","Both equally","2022-12-06 09:11:17 UTC"
"I give my consent to take part in the experiment","5f9f2149fd257e5401063293","Man","23",,"Always right","Always right","Usually right","Usually right","Usually right","Always right","Always right","Always right","Always right","Both equally","2022-12-06 09:20:51 UTC"
"I give my consent to take part in the experiment","604fa20104cca28c88ad6c01","Man","20",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 09:25:53 UTC"
"I give my consent to take part in the experiment","6140c6ea5b79d814890d4eae","Man","31",,"Always right","Always right","Usually right","Always right","Always right","Always right","Always right","Both equally","Always right","Both equally","2022-12-06 09:34:07 UTC"
