"1. If you are happy to proceed with the experiment, please click below to provide your consent.",2. Please enter your Prolific ID to continue:,3. Please tell us whether you identify as a:,4. How old are you?,5. Please indicate which hand you use for the following activities or objects:,5.1. Writing,5.2. Drawing,5.3. Throwing,5.4. Scissors,5.5. Toothbrush,5.6. Knife (without fork),5.7. Spoon,5.8. Broom (upper hand),5.9. Striking match (match),5.10. Opening box (lid),StartDate,CompletionDate
I give my consent to take part in the experiment,60faab6f9d9a835ba3b8327f,Woman,26,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:30:42 UTC,2022-10-19 12:33:52 UTC
I give my consent to take part in the experiment,5c0ed000fd0c0a0001f881ea,Woman,44,,Always right,Always right,Always right,Always right,Usually right,Always right,Usually right,Usually right,Always right,Always right,2022-10-19 12:35:31 UTC,2022-10-19 12:36:06 UTC
I give my consent to take part in the experiment,6023df50d5c2d7069115de3f,Woman,24,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:34:37 UTC,2022-10-19 12:36:26 UTC
I give my consent to take part in the experiment,6130681762f1d26905858de5,Man,29,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:17:19 UTC,2022-10-19 12:41:57 UTC
I give my consent to take part in the experiment,610ca409afdd73dfb308f1c8,Man,19,,Always left,Always left,Usually right,Usually right,Always left,Usually left,Always left,Always left,Always left,Usually left,2022-10-19 12:37:06 UTC,2022-10-19 12:42:35 UTC
I give my consent to take part in the experiment,61325e404d6baed12c1326d4,Woman,23,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:42:37 UTC,2022-10-19 12:43:43 UTC
I give my consent to take part in the experiment,601941db6605160008690742,Man,30,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:44:05 UTC,2022-10-19 12:44:47 UTC
I give my consent to take part in the experiment,5c018eb6067bbf00019ba43d,Man,30,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,2022-10-19 12:47:09 UTC,2022-10-19 12:48:28 UTC
I give my consent to take part in the experiment,60009ee6d7db7017e5bbadd1,Man,25,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:52:50 UTC,2022-10-19 12:53:29 UTC
I give my consent to take part in the experiment,6023df50d5c2d7069115de3f,Woman,24,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:42:04 UTC,2022-10-19 12:54:12 UTC
I give my consent to take part in the experiment,578a060882f7f90001ee801e,Woman,32,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:56:39 UTC,2022-10-19 12:57:49 UTC
I give my consent to take part in the experiment,5c8bafb53b6f3d00013d7c30,Man,32,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:56:23 UTC,2022-10-19 12:58:09 UTC
I give my consent to take part in the experiment,5b27c8498ecf3f000161a4c8,Woman,36,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 12:58:54 UTC,2022-10-19 12:59:36 UTC
I give my consent to take part in the experiment,616c3f3a378cb38f3f7ecac3,Man,53,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 13:02:36 UTC,2022-10-19 13:07:35 UTC
I give my consent to take part in the experiment,6023df50d5c2d7069115de3f,Woman,24,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 13:07:44 UTC,2022-10-19 13:08:22 UTC
I give my consent to take part in the experiment,60e343946a7faddde88fbe3c,Man,28,,Always right,Always right,Always right,Usually right,Usually right,Always right,Usually right,Usually right,Usually right,Always right,2022-10-19 13:10:48 UTC,2022-10-19 13:11:45 UTC
I give my consent to take part in the experiment,60d31677c70e721d8aed0237,Man,33,,Always right,Always right,Usually left,Usually right,Usually left,Always right,Always right,Usually right,Usually right,Both equally,2022-10-19 13:13:31 UTC,2022-10-19 13:14:13 UTC
I give my consent to take part in the experiment,61485d798b28686872fb9c7b,Woman,29,,Always left,Always left,Always left,Always left,Always left,Always right,Always left,Always left,Always left,Always left,2022-10-19 13:16:21 UTC,2022-10-19 13:17:13 UTC
I give my consent to take part in the experiment,5e8783b0fde5153fbd9dca43,Woman,23,,Always right,Always right,Usually right,Always right,Usually right,Usually right,Always right,Both equally,Usually right,Usually right,2022-10-19 13:10:37 UTC,2022-10-19 13:17:51 UTC
I give my consent to take part in the experiment,6131460946d0022f68082db6,Woman,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 13:21:19 UTC,2022-10-19 13:24:54 UTC
I give my consent to take part in the experiment,6131460946d0022f68082db6,Woman,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 13:25:36 UTC,2022-10-19 13:26:04 UTC
I give my consent to take part in the experiment,6131460946d0022f68082db6,Woman,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 13:26:59 UTC,2022-10-19 13:27:26 UTC
I give my consent to take part in the experiment,60c89dd43697d0b926b5b804,Woman,21,,Always right,Always right,Usually right,Always right,Usually right,Always right,Always right,Both equally,Both equally,Both equally,2022-10-19 12:17:11 UTC,2022-10-19 13:27:47 UTC
I give my consent to take part in the experiment,6131460946d0022f68082db6,Woman,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 13:28:19 UTC,2022-10-19 13:28:51 UTC
I give my consent to take part in the experiment,6131460946d0022f68082db6,Woman,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 13:27:48 UTC,2022-10-19 13:30:16 UTC
I give my consent to take part in the experiment,6131460946d0022f68082db6,Woman,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 13:30:09 UTC,2022-10-19 13:31:20 UTC
I give my consent to take part in the experiment,5baf6705848bbd0001d6fc8a,Woman,27,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 13:38:45 UTC,2022-10-19 13:41:25 UTC
I give my consent to take part in the experiment,5b8c8e7d0c740e00019d55c3,Man,37,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Usually right,Always right,Usually right,2022-10-19 13:45:53 UTC,2022-10-19 13:48:14 UTC
I give my consent to take part in the experiment,613a469755c08ab3b9d682ad,Woman,25,,Always right,Always right,Usually right,Always right,Always right,Always right,Usually right,Always right,Always right,Usually right,2022-10-19 13:45:24 UTC,2022-10-19 13:48:30 UTC
I give my consent to take part in the experiment,5d40a12f4994c40001e4b80c,Woman,32,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,Always right,Always right,2022-10-19 13:47:12 UTC,2022-10-19 13:51:19 UTC
I give my consent to take part in the experiment,595bd5c85ae9a80001ce3426,Man,32,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually left,Usually right,Both equally,2022-10-19 13:46:20 UTC,2022-10-19 13:58:24 UTC
I give my consent to take part in the experiment,6166e78051425fa22de68491,Woman,21,,Always right,Always right,Both equally,Usually right,Usually right,Usually right,Usually right,Both equally,Both equally,Both equally,2022-10-19 14:00:13 UTC,2022-10-19 14:03:10 UTC
I give my consent to take part in the experiment,604cf861ea0db53a75e15d5f,Man,26,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-22 14:26:31 UTC,2022-10-22 14:27:49 UTC
I give my consent to take part in the experiment,5e83b64a71c78f0d979f1896,Man,26,,Always right,Always right,Always right,Both equally,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-22 14:26:36 UTC,2022-10-22 14:28:19 UTC
I give my consent to take part in the experiment,610737a2c079729804c1a1e7,Woman,19,,Always right,Always right,Usually left,Usually right,Always right,Always right,Always right,Usually left,Both equally,Always right,2022-10-22 14:27:16 UTC,2022-10-22 14:28:47 UTC
I give my consent to take part in the experiment,6164b9e5d7dd59233b570c51,Woman,20,,Always right,Always right,Usually right,Always right,Usually right,Always right,Always right,Always right,Always right,Usually right,2022-10-22 14:26:43 UTC,2022-10-22 14:28:52 UTC
I give my consent to take part in the experiment,6144b76aedae028c523b3071,Man,22,,Always right,Always right,Usually left,Always right,Always right,Always right,Always right,Always right,Always left,Always left,2022-10-22 14:26:34 UTC,2022-10-22 14:29:03 UTC
I give my consent to take part in the experiment,6030050a5bdba4dd09d142f4,Woman,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,2022-10-22 14:27:32 UTC,2022-10-22 14:29:09 UTC
I give my consent to take part in the experiment,5e2886675192a904ae0a2110,Man,29,,Always left,Always left,Always left,Always left,Always left,Always left,Always left,Usually left,Always left,Usually left,2022-10-22 14:26:35 UTC,2022-10-22 14:29:21 UTC
I give my consent to take part in the experiment,6100420439c2eeab8326fe25,Man,22,,Always right,Always right,Usually right,Usually right,Always right,Usually right,Usually right,Usually right,Usually right,Usually right,2022-10-22 14:27:30 UTC,2022-10-22 14:29:56 UTC
I give my consent to take part in the experiment,613b1e3607aa50c67b534570,Woman,24,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-22 14:27:15 UTC,2022-10-22 14:32:32 UTC
I give my consent to take part in the experiment,601ffb441dc6d959b855eea5,Woman,20,,Always right,Always right,Always right,Always right,Usually right,Usually right,Usually right,Always right,Always right,Always right,2022-10-22 14:27:23 UTC,2022-10-22 14:42:19 UTC
I give my consent to take part in the experiment,6144b76aedae028c523b3071,Man,22,,Always right,Always right,Always left,Always right,Always right,Always right,Always right,Always right,Always left,Always left,2022-10-22 14:49:13 UTC,2022-10-22 14:49:49 UTC
I give my consent to take part in the experiment,613a972033d79df11a6570de,Woman,35,,Always right,Always right,Usually right,Always right,Usually right,Always right,Always right,Usually right,Always right,Usually right,2022-10-22 16:01:39 UTC,2022-10-22 16:04:37 UTC
I give my consent to take part in the experiment,5efe1f5fae9c482e94a4cc61,Man,21,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-23 17:07:15 UTC,2022-10-23 17:08:51 UTC
I give my consent to take part in the experiment,603092d2cd3854f43df2c885,Man,22,,Always left,Always left,Both equally,Usually right,Always left,Always left,Always left,Always left,Usually left,Always left,2022-10-23 17:07:26 UTC,2022-10-23 17:09:15 UTC
I give my consent to take part in the experiment,602d84f17cdd707e9caed37a,Woman,23,,Always right,Always right,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Usually right,2022-10-23 17:08:02 UTC,2022-10-23 17:09:28 UTC
I give my consent to take part in the experiment,60733deb6636282339447a74,Man,21,,Always right,Always right,Always right,Usually right,Always right,Always right,Always right,Usually right,Always right,Always right,2022-10-23 17:07:53 UTC,2022-10-23 17:09:44 UTC
I give my consent to take part in the experiment,60fd5bfe72f9b6d7779b4691,Woman,21,,Always right,Always right,Usually left,Always right,Always right,Always right,Always right,Both equally,Always right,Both equally,2022-10-23 17:07:57 UTC,2022-10-23 17:09:56 UTC
I give my consent to take part in the experiment,604a620c882c4ad527217035,Man,29,,Always left,Always left,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-23 17:08:38 UTC,2022-10-23 17:09:56 UTC
I give my consent to take part in the experiment,600abec042ce9902cb63f0a2,Man,24,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-23 17:08:06 UTC,2022-10-23 17:10:04 UTC
I give my consent to take part in the experiment,5efe1f5fae9c482e94a4cc61,Man,21,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-23 17:09:44 UTC,2022-10-23 17:10:09 UTC
I give my consent to take part in the experiment,5ed8eb3d8074e940108fb095,Non-binary,44,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-23 17:07:52 UTC,2022-10-23 17:11:08 UTC
I give my consent to take part in the experiment,611bbf442fae05702503ef30,Man,22,,Always left,Always left,Usually left,Usually left,Usually left,Usually right,Always left,Always left,Always left,Both equally,2022-10-23 17:07:27 UTC,2022-10-23 17:14:25 UTC
I give my consent to take part in the experiment,5ec3f25d9cedf7287004cd26,Woman,21,,Always right,Always right,Usually right,Always right,Both equally,Always right,Usually right,Always right,Always right,Usually right,2022-10-23 17:07:29 UTC,2022-10-23 17:19:46 UTC
I give my consent to take part in the experiment,60d3acd071e98de7a42743ac,Woman,19,,Always left,Always left,Usually left,Usually left,Always left,Always left,Always left,Both equally,Both equally,Both equally,2022-10-23 17:35:35 UTC,2022-10-23 17:37:16 UTC
I give my consent to take part in the experiment,60cdae5d942a76a98eba611a,Woman,35,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-23 17:40:29 UTC,2022-10-23 17:43:33 UTC
